synthetic_sme_id,synthetic_manager_id,manager_enterprise_sequence,manager_sex,manager_age_band,manager_education_level,manager_urban_rural,manager_in_workforce,sme_enterprise_activity_1digit,sme_enterprise_age_band,sme_ownership_structure,sme_household_ownership_share_band,sme_workplace_type,sme_current_capital_band,sme_startup_capital_band,sme_startup_capital_source,sme_primary_buyer_type,sme_has_business_license,sme_has_commercial_registration,sme_keeps_accounting_books,sme_has_online_page_or_storefront,sme_has_mobile_sales_app,sme_share_of_sales_online_band,sme_hires_nonhousehold_workers,sme_num_nonhousehold_workers_band,sme_num_related_external_workers_band,sme_any_workers_with_social_insurance,sme_num_workers_with_social_insurance_band,sme_new_workers_joined_last12m,sme_workers_left_last12m,sme_annual_wage_bill_band,sme_annual_taxes_paid_band,sme_average_monthly_net_earnings_band
56,222,1,0,6,1,0,0,5,5,1,-1,2,6,6,2,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
57,222,2,0,6,1,0,0,6,4,1,-1,2,2,1,4,1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,3
58,222,3,0,6,1,0,0,8,3,1,-1,2,5,3,1,1,1,-1,1,0,0,-1,0,0,0,0,1,0,0,0,-1,4
59,242,1,1,6,1,1,0,0,5,1,-1,4,5,4,1,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,1
60,248,1,0,5,1,1,1,6,3,1,-1,12,7,6,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,1
61,252,1,1,1,1,1,1,0,2,1,-1,13,6,1,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
62,260,1,1,6,1,1,0,6,4,1,-1,4,3,6,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
63,260,2,1,6,1,1,0,6,5,1,-1,1,4,2,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
64,260,3,1,6,1,1,0,0,5,1,-1,2,2,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
65,272,1,1,6,1,1,0,0,6,1,-1,13,6,3,1,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,5
66,272,2,1,6,1,1,0,6,-1,1,2,1,5,3,6,1,1,0,1,0,0,-1,1,0,0,0,0,0,0,0,-1,1
67,283,1,0,2,2,1,1,2,3,1,-1,2,3,6,17,1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,3
68,283,2,0,2,2,1,1,6,3,1,-1,2,2,7,1,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,5
69,293,1,0,5,2,0,1,5,5,1,-1,1,4,6,3,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
70,295,1,0,4,1,0,1,7,5,1,1,3,1,7,-1,1,0,1,0,0,0,-1,0,0,0,0,-1,0,0,-1,1,4
71,303,1,0,6,2,1,0,5,5,1,-1,1,7,5,1,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
72,303,2,0,6,2,1,0,0,6,2,2,6,6,6,1,1,0,-1,1,0,0,-1,0,1,0,0,0,0,0,0,-1,2
73,303,3,0,6,2,1,0,5,4,1,-1,11,7,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
74,306,1,0,3,1,1,1,7,2,1,-1,2,-1,1,1,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,4
75,309,1,0,2,2,1,1,5,3,2,-1,2,6,3,1,1,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,-1,3
76,315,1,1,1,1,1,1,18,2,2,-1,1,4,2,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
77,336,1,0,4,2,1,1,6,2,1,2,12,5,1,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
78,336,2,0,4,2,1,1,0,4,1,-1,14,5,5,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
79,339,1,0,6,1,0,0,7,5,1,-1,14,7,3,13,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,2
80,352,1,1,6,1,1,0,8,4,1,-1,1,3,4,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,3
81,363,1,0,6,1,1,0,18,6,1,-1,1,-1,2,1,1,1,0,0,0,0,-1,0,0,0,1,-1,0,0,-1,-1,-1
82,363,2,0,6,1,1,0,0,5,1,-1,13,4,4,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
83,385,1,0,4,2,0,1,5,5,1,-1,2,7,6,1,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-1,2
84,415,1,1,6,1,1,0,8,5,1,-1,8,6,7,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
85,422,1,0,4,1,1,1,7,3,1,-1,2,7,4,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,3
86,424,1,0,6,1,1,1,7,4,1,-1,12,5,4,1,1,1,-1,0,0,0,-1,1,0,0,0,-1,0,0,0,-1,2
87,427,1,0,6,1,0,0,18,6,1,-1,1,7,1,9,1,0,-1,0,0,0,-1,0,0,0,0,2,0,0,-1,-1,2
88,427,2,0,6,1,0,0,19,5,1,-1,9,7,6,1,1,1,0,1,0,0,-1,0,0,0,0,-1,0,0,0,-1,2
89,431,1,1,6,4,0,0,15,4,1,-1,1,1,3,4,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
90,431,2,1,6,4,0,0,6,1,1,-1,2,7,5,4,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
91,431,3,1,6,4,0,0,15,5,1,-1,4,4,6,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
92,443,1,1,6,1,1,0,6,5,1,-1,2,6,2,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
93,443,2,1,6,1,1,0,19,5,1,-1,2,3,3,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,3
94,443,3,1,6,1,1,0,8,1,1,-1,2,4,4,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
95,444,1,0,2,1,0,1,6,2,1,-1,2,-1,6,1,1,0,0,1,0,0,-1,0,0,1,0,-1,0,0,-1,-1,1
96,450,1,0,4,1,1,1,5,4,1,-1,2,5,2,4,1,0,0,0,0,0,-1,1,0,0,1,-1,0,0,0,-1,1
97,468,1,0,6,1,0,0,18,2,1,-1,1,1,6,2,1,1,1,0,0,0,-1,0,2,0,0,0,0,0,0,5,2
98,468,2,0,6,1,0,0,7,3,1,-1,11,5,6,3,1,1,0,1,0,0,2,0,0,0,0,0,0,0,-1,-1,1
99,477,1,1,3,1,1,1,6,4,1,-1,2,4,5,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
100,481,1,0,6,1,0,0,7,4,1,-1,2,5,6,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,1,0,-1,3
101,484,1,0,2,2,1,1,2,4,1,-1,1,2,2,1,2,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,-1
102,486,1,0,4,4,1,1,16,4,1,-1,1,4,6,1,1,1,0,0,0,0,-1,0,1,0,0,0,0,0,-1,-1,1
103,487,1,0,6,4,0,0,16,6,1,-1,3,5,2,1,1,1,1,0,0,0,-1,0,1,0,0,0,0,0,0,-1,5
104,487,2,0,6,4,0,0,6,1,1,-1,9,6,6,2,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
105,492,1,0,3,1,1,1,2,4,2,-1,2,3,6,13,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,4
106,496,1,1,2,4,0,1,15,2,1,-1,1,6,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
107,503,1,0,2,2,1,1,2,4,1,-1,9,7,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0
108,507,1,1,4,1,0,1,6,4,1,-1,2,5,3,3,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,5,5
109,508,1,0,5,3,0,1,15,4,1,-1,9,7,6,-1,1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,2
110,514,1,0,2,1,1,1,7,4,1,-1,1,6,3,1,1,1,0,0,0,0,-1,1,3,1,0,-1,0,0,0,-1,-1
111,517,1,0,6,2,0,0,4,3,1,-1,2,5,4,1,1,1,0,1,0,0,-1,0,1,0,0,0,0,0,0,-1,4
112,524,1,0,6,1,0,0,5,3,1,-1,2,7,4,17,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,5,5
113,524,2,0,6,1,0,0,7,5,1,-1,12,5,-1,1,1,0,0,0,0,0,-1,0,4,0,0,0,0,0,0,-1,1
114,524,3,0,6,1,0,0,19,4,1,-1,9,6,2,1,1,-1,1,0,0,0,-1,0,1,0,0,0,0,0,0,-1,3
115,527,1,0,4,1,1,1,18,4,1,-1,4,5,6,8,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
116,537,1,0,2,2,1,1,7,4,1,-1,2,5,5,1,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
117,540,1,0,6,1,1,0,18,4,1,-1,10,6,7,1,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,1
118,540,2,0,6,1,1,0,6,4,1,-1,4,6,6,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
119,544,1,1,6,1,1,0,8,-1,2,-1,13,4,5,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,4,-1,1
120,547,1,1,6,1,1,0,6,6,1,-1,12,5,4,4,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
121,549,1,1,6,1,1,0,6,5,1,-1,14,6,4,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
122,550,1,1,6,1,0,0,8,5,1,-1,1,3,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,5
123,550,2,1,6,1,0,0,6,3,1,-1,1,3,2,4,1,0,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,-1,3
124,550,3,1,6,1,0,0,6,4,1,-1,2,4,5,15,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,1
125,564,1,1,6,1,0,0,6,6,1,-1,2,1,1,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,-1,5
126,564,2,1,6,1,0,0,2,6,1,-1,1,6,2,1,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,1
127,564,3,1,6,1,0,0,6,5,1,-1,1,4,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
128,566,1,1,3,2,1,1,15,4,1,-1,4,6,3,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
129,585,1,1,6,1,1,0,0,1,1,-1,14,5,2,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
130,585,2,1,6,1,1,0,6,5,1,-1,1,7,4,1,1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,1
131,590,1,0,6,1,1,0,7,4,1,2,12,4,6,3,1,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,4
132,591,1,1,4,2,1,1,0,2,1,-1,4,2,3,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
133,593,1,0,3,2,1,1,7,5,2,-1,2,6,4,18,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0,-1,-1,2
134,602,1,0,4,4,0,1,15,5,1,-1,3,-1,6,1,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
135,611,1,1,6,1,0,0,6,1,1,-1,1,4,3,3,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
136,614,1,0,6,1,0,0,5,5,1,-1,2,4,4,-1,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,4
137,614,2,0,6,1,0,0,7,6,1,-1,2,1,4,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,3,3
138,621,1,1,6,1,0,0,0,5,1,-1,1,3,5,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,2
139,621,2,1,6,1,0,0,8,6,1,-1,1,2,2,1,1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,3
140,621,3,1,6,1,0,0,2,4,1,-1,1,1,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
141,625,1,1,6,1,0,0,2,3,1,-1,1,3,4,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
142,625,2,1,6,1,0,0,8,5,1,-1,1,5,1,1,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,1
143,625,3,1,6,1,0,0,6,5,1,-1,1,7,4,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
144,628,1,0,1,2,0,1,7,3,1,-1,6,6,7,1,1,0,1,1,0,0,-1,1,0,0,0,0,0,0,0,-1,1
145,634,1,0,3,2,0,1,8,4,1,-1,2,6,1,2,1,0,0,0,0,0,4,0,1,0,0,0,0,1,-1,-1,4
146,636,1,0,2,2,1,1,0,3,1,-1,12,-1,3,3,1,1,-1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,4
147,653,1,0,4,1,1,1,2,5,1,-1,2,7,6,1,1,0,0,0,0,0,-1,0,0,1,0,-1,0,0,-1,-1,5
148,671,1,0,5,1,0,1,6,3,1,-1,2,3,2,17,1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,5
149,673,1,0,3,4,1,1,6,3,1,-1,12,1,5,17,1,0,-1,0,0,0,-1,1,1,0,0,0,0,0,-1,-1,2
150,674,1,0,5,1,1,1,5,5,2,-1,11,6,4,3,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
151,677,1,1,6,1,0,0,6,5,1,-1,14,5,4,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
152,677,2,1,6,1,0,0,6,1,1,-1,14,6,2,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
153,677,3,1,6,1,0,0,0,4,1,-1,14,2,5,2,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,1
154,680,1,1,6,1,1,0,6,6,1,-1,1,3,1,1,1,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,-1,2
155,680,2,1,6,1,1,0,0,5,1,2,3,1,4,3,1,1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,-1,2
156,680,3,1,6,1,1,0,8,4,1,-1,1,7,2,1,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
157,685,1,1,6,1,0,0,18,5,1,-1,1,6,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
158,688,1,0,6,1,1,0,6,4,1,-1,2,2,7,2,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
159,688,2,0,6,1,1,0,3,3,1,-1,2,7,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
160,688,3,0,6,1,1,0,6,6,1,-1,2,5,5,-1,1,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,-1,4
161,692,1,0,5,2,0,1,6,2,1,-1,2,6,5,2,1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,2
162,699,1,1,6,1,1,0,0,3,1,-1,1,4,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
163,699,2,1,6,1,1,0,8,4,1,-1,1,1,4,13,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
164,699,3,1,6,1,1,0,7,4,1,-1,1,4,1,1,7,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
165,704,1,1,6,1,1,0,6,6,1,-1,1,-1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,5
166,712,1,0,6,1,0,0,5,5,1,-1,2,-1,5,9,1,0,0,0,0,0,-1,1,2,0,0,0,0,0,0,-1,4
167,712,2,0,6,1,0,0,5,4,1,-1,14,7,6,1,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,-1,-1,4
168,727,1,0,1,2,0,1,5,2,1,-1,9,4,6,2,1,0,1,0,0,0,-1,1,0,0,0,0,0,0,-1,-1,3
169,742,1,1,3,3,1,1,6,4,1,-1,5,3,2,2,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,2
170,746,1,1,3,4,0,1,15,3,1,-1,2,1,1,1,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
171,747,1,1,6,1,1,0,0,1,1,-1,14,7,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
172,758,1,0,3,2,0,1,6,4,2,-1,9,4,6,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,3
173,760,1,1,4,4,1,1,2,2,1,-1,1,7,4,3,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,1
174,768,1,0,3,2,1,1,6,-1,1,-1,13,2,2,1,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
175,776,1,1,6,1,1,0,2,3,1,-1,4,4,7,4,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
176,776,2,1,6,1,1,0,6,5,1,-1,1,2,3,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,3
177,801,1,0,2,4,0,1,7,4,1,-1,9,1,4,1,1,0,-1,0,0,0,3,0,0,0,0,0,0,0,0,-1,5
178,821,1,1,6,1,1,0,6,6,1,-1,1,4,4,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
179,821,2,1,6,1,1,0,8,5,1,-1,1,3,2,1,11,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
180,821,3,1,6,1,1,0,0,5,1,-1,18,7,5,4,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
181,822,1,0,6,1,1,0,7,5,1,-1,12,-1,5,7,1,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,-1,2
182,836,1,0,3,2,0,1,8,4,1,-1,14,7,6,4,2,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,3
183,837,1,1,6,1,1,0,0,5,2,-1,1,2,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
184,849,1,0,3,2,1,1,8,5,1,-1,6,5,1,2,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,4
185,851,1,0,2,4,0,1,6,3,1,2,2,6,5,1,1,0,1,0,1,0,-1,0,1,0,0,0,0,0,0,5,4
186,854,1,0,6,1,0,0,5,5,1,-1,14,7,4,2,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
187,854,2,0,6,1,0,0,6,5,1,-1,3,7,5,3,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,4
188,854,3,0,6,1,0,0,6,3,1,-1,9,5,1,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
189,862,1,0,3,4,0,1,0,4,1,-1,2,7,7,6,6,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,-1,1
